,0
1154,5.2
1155,5.4
1156,5.6
1157,5.8
1158,6.0
1159,6.2
1160,6.4
1161,6.6
1162,6.8
1163,7.0
1164,7.2
1165,7.4
1166,7.6
1167,7.8
1168,8.0
1169,8.2
1170,8.4
1171,8.6
1172,8.8
1173,9.0
1174,9.2
1175,9.4
1176,9.6
1177,9.8
1178,10.0
1179,10.2
1180,10.4
1181,10.6
1182,10.8
1183,11.0
1184,11.2
1185,11.4
1186,11.6
1187,11.8
1188,12.0
1189,12.2
1190,12.4
1191,12.6
1192,12.8
1193,13.0
1194,13.2
1195,13.4
1196,13.6
1197,13.8
1198,14.0
1199,14.2
1200,14.4
1201,14.6
1202,14.8
1203,15.0
1204,15.2
1205,15.4
1206,15.6
1207,15.8
1208,16.0
1209,16.2
1210,16.4
1211,16.6
1212,16.8
1213,17.0
1214,17.2
1215,17.4
1216,17.6
1217,17.8
1218,18.0
1219,18.2
1220,18.4
1221,18.6
1222,18.8
1223,19.0
1224,19.2
1225,19.4
1226,19.6
1227,19.8
1228,20.0
1229,20.2
1230,20.4
1231,20.6
1232,20.8
1233,21.0
1234,21.2
1235,21.4
1236,21.6
1237,21.8
1238,22.0
1239,22.2
1240,22.4
1241,22.6
1242,22.8
1243,23.0
1244,23.2
1245,23.4
1246,23.6
1247,23.8
1248,24.0
1249,24.2
1250,24.4
1251,24.6
1252,24.8
1253,25.0
1254,25.2
1255,25.4
1256,25.6
1257,25.8
1258,26.0
1259,26.2
1260,26.4
1261,26.6
1262,26.8
1263,27.0
1264,27.2
1265,27.4
1266,27.6
1267,27.8
1268,28.0
1269,28.2
1270,28.4
1271,28.6
1272,28.8
1273,29.0
1274,29.2
1275,29.4
1276,29.6
1277,29.8
1278,30.0
1279,30.2
1280,30.4
1281,30.6
1282,30.8
1283,31.0
1284,31.2
1285,31.4
1286,31.6
1287,31.8
1288,32.0
1289,32.2
1290,32.4
1291,32.6
1292,32.8
1293,33.0
1294,33.2
1295,33.4
1296,33.6
1297,33.8
1298,34.0
1299,34.2
1300,34.4
1301,34.6
1302,34.8
1303,35.0
1304,35.2
1305,35.4
1306,35.6
1307,35.8
1308,36.0
1309,36.2
1310,36.4
1311,36.6
1312,36.8
1313,37.0
1314,37.2
1315,37.4
1316,37.6
1317,37.8
1318,38.0
1319,38.2
1320,38.4
1321,38.6
1322,38.8
1323,39.0
1324,39.2
1325,39.4
1326,39.6
1327,39.8
1328,40.0
1329,40.2
1330,40.4
1331,40.6
1332,40.8
1333,41.0
1334,41.2
1335,41.4
1336,41.6
1337,41.8
1338,42.0
1339,42.2
1340,42.4
1341,42.6
1342,42.8
1343,43.0
1344,43.2
1345,43.4
1346,43.6
1347,43.8
1348,44.0
1349,44.2
1350,44.4
1351,44.6
1352,44.8
1353,45.0
1354,45.2
1355,45.4
1356,45.6
1357,45.8
1358,46.0
1359,46.2
1360,46.4
1361,46.6
1362,46.8
1363,47.0
1364,47.2
1365,47.4
1366,47.6
1367,47.8
1368,48.0
1369,48.2
1370,48.4
1371,48.6
1372,48.8
1373,49.0
1374,49.2
1375,49.4
1376,49.6
1377,49.8
1378,50.0
1379,50.2
1380,50.4
1381,50.6
1382,50.8
1383,51.0
1384,51.2
1385,51.4
1386,51.6
1387,51.8
1388,52.0
1389,52.2
1390,52.4
1391,52.6
1392,52.8
1393,53.0
1394,53.2
1395,53.4
1396,53.6
1397,53.8
1398,54.0
1399,54.2
1400,54.4
1401,54.6
1402,54.8
1403,55.0
1404,55.2
1405,55.4
1406,55.6
1407,55.8
1408,56.0
1409,56.2
1410,56.4
1411,56.6
1412,56.8
1413,57.0
1414,57.2
1415,57.4
1416,57.6
1417,57.8
1418,58.0
1419,58.2
1420,58.4
1421,58.6
1422,58.8
1423,59.0
1424,59.2
1425,59.4
1426,59.6
1427,59.8
1428,60.0
1429,60.2
1430,60.4
1431,60.6
1432,60.8
1433,61.0
1434,61.2
1435,61.4
1436,61.6
1437,61.8
1438,62.0
1439,62.2
1440,62.4
1441,62.6
1442,62.8
1443,63.0
1444,63.2
1445,63.4
1446,63.6
1447,63.8
1448,64.0
1449,64.2
1450,64.4
1451,64.6
1452,64.8
1453,65.0
1454,65.2
1455,65.4
1456,65.6
1457,65.8
1458,66.0
1459,66.2
1460,66.4
1461,66.6
1462,66.8
1463,67.0
1464,67.2
1465,67.4
1466,67.6
1467,67.8
1468,68.0
1469,68.2
1470,68.4
1471,68.6
1472,68.8
1473,69.0
1474,69.2
1475,69.4
1476,69.6
1477,69.8
1478,70.0
1479,70.2
1480,70.4
1481,70.6
1482,70.8
1483,71.0
1484,71.2
1485,71.4
1486,71.6
1487,71.8
1488,72.0
1489,72.2
1490,72.4
1491,72.6
1492,72.8
1493,73.0
1494,73.2
1495,73.4
1496,73.6
1497,73.8
1498,74.0
1499,74.2
1500,74.4
1501,74.6
1502,74.8
1503,75.0
1504,75.2
1505,75.4
1506,75.6
1507,75.8
1508,76.0
1509,76.2
1510,76.4
1511,76.6
1512,76.8
1513,77.0
1514,77.2
1515,77.4
1516,77.6
1517,77.8
1518,78.0
1519,78.2
1520,78.4
1521,78.6
1522,78.8
1523,79.0
1524,79.2
1525,79.4
1526,79.6
1527,79.8
1528,80.0
1529,80.2
1530,80.4
1531,80.6
1532,80.8
1533,81.0
1534,81.2
1535,81.4
1536,81.6
1537,81.8
1538,82.0
1539,82.2
1540,82.4
1541,82.6
1542,82.8
1543,83.0
1544,83.2
1545,83.4
1546,83.6
1547,83.8
1548,84.0
1549,84.2
1550,84.4
1551,84.6
1552,84.8
1553,85.0
1554,85.2
1555,85.4
1556,85.6
1557,85.8
1558,86.0
1559,86.2
1560,86.4
1561,86.6
1562,86.8
1563,87.0
1564,87.2
1565,87.4
1566,87.6
1567,87.8
1568,88.0
1569,88.2
1570,88.4
1571,88.6
1572,88.8
1573,89.0
1574,89.2
1575,89.4
1576,89.6
1577,89.8
1578,90.0
1579,90.2
1580,90.4
1581,90.6
1582,90.8
1583,91.0
1584,91.2
1585,91.4
1586,91.6
1587,91.8
1588,92.0
1589,92.2
1590,92.4
1591,92.6
1592,92.8
1593,93.0
1594,93.2
1595,93.4
1596,93.6
1597,93.8
1598,94.0
1599,94.2
1600,94.4
1601,94.6
1602,94.8
1603,95.0
1604,95.2
1605,95.4
1606,95.6
1607,95.8
1608,96.0
1609,96.2
1610,96.4
1611,96.6
1612,96.8
1613,97.0
1614,97.2
1615,97.4
1616,97.6
1617,97.8
1618,98.0
1619,98.2
1620,98.4
1621,98.6
1622,98.8
1623,99.0
1624,99.2
1625,99.4
1626,99.6
1627,99.8
1628,100.0
1629,100.2
1630,100.4
1631,100.6
1632,100.8
1633,101.0
1634,101.2
1635,101.4
1636,101.6
1637,101.8
1638,102.0
1639,102.2
1640,102.4
1641,102.6
1642,102.8
1643,103.0
1644,103.2
1645,103.4
1646,103.6
1647,103.8
1648,104.0
1649,104.2
1650,104.4
1651,104.6
1652,104.8
1653,105.0
1654,105.2
1655,105.4
1656,105.6
1657,105.8
1658,106.0
1659,106.2
1660,106.4
1661,106.6
1662,106.8
1663,107.0
1664,107.2
1665,107.4
1666,107.6
1667,107.8
1668,108.0
1669,108.2
1670,108.4
1671,108.6
1672,108.8
1673,109.0
1674,109.2
1675,109.4
1676,109.6
1677,109.8
1678,110.0
1679,110.2
1680,110.4
1681,110.6
1682,110.8
1683,111.0
1684,111.2
1685,111.4
1686,111.6
1687,111.8
1688,112.0
1689,112.2
1690,112.4
1691,112.6
1692,112.8
1693,113.0
1694,113.2
1695,113.4
1696,113.6
1697,113.8
1698,114.0
1699,114.2
1700,114.4
1701,114.6
1702,114.8
1703,115.0
1704,115.2
1705,115.4
1706,115.6
1707,115.8
1708,116.0
1709,116.2
