,0
1411,71.0
1412,71.2
1413,71.4
1414,71.6
1415,71.8
1416,72.0
1417,72.2
1418,72.4
1419,72.6
1420,72.8
1421,73.0
1422,73.2
1423,73.4
1424,73.6
1425,73.8
1426,74.0
1427,74.2
1428,74.4
1429,74.6
1430,74.8
1431,75.0
1432,75.2
1433,75.4
1434,75.6
1435,75.8
1436,76.0
1437,76.2
1438,76.4
1439,76.6
1440,76.8
1441,77.0
1442,77.2
1443,77.4
1444,77.6
1445,77.8
1446,78.0
1447,78.2
1448,78.4
1449,78.6
1450,78.8
1451,79.0
1452,79.2
1453,79.4
1454,79.6
1455,79.8
1456,80.0
1457,80.2
1458,80.4
1459,80.6
1460,80.8
1461,81.0
1462,81.2
1463,81.4
1464,81.6
1465,81.8
1466,82.0
1467,82.2
1468,82.4
1469,82.6
1470,82.8
1471,83.0
1472,83.2
1473,83.4
1474,83.6
1475,83.8
1476,84.0
1477,84.2
1478,84.4
1479,84.6
1480,84.8
1481,85.0
1482,85.2
1483,85.4
1484,85.6
1485,85.8
1486,86.0
1487,86.2
1488,86.4
1489,86.6
1490,86.8
1491,87.0
1492,87.2
1493,87.4
1494,87.6
1495,87.8
1496,88.0
1497,88.2
1498,88.4
1499,88.6
1500,88.8
1501,89.0
1502,89.2
1503,89.4
1504,89.6
1505,89.8
1506,90.0
1507,90.2
1508,90.4
1509,90.6
1510,90.8
1511,91.0
1512,91.2
1513,91.4
1514,91.6
1515,91.8
1516,92.0
1517,92.2
1518,92.4
1519,92.6
1520,92.8
1521,93.0
1522,93.2
1523,93.4
1524,93.6
1525,93.8
1526,94.0
1527,94.2
1528,94.4
1529,94.6
1530,94.8
1531,95.0
1532,95.2
1533,95.4
1534,95.6
1535,95.8
1536,96.0
1537,96.2
1538,96.4
1539,96.6
1540,96.8
1541,97.0
1542,97.2
1543,97.4
1544,97.6
1545,97.8
1546,98.0
1547,98.2
1548,98.4
1549,98.6
1550,98.8
1551,99.0
1552,99.2
1553,99.4
1554,99.6
1555,99.8
1556,100.0
1557,100.2
1558,100.4
1559,100.6
1560,100.8
1561,101.0
1562,101.2
1563,101.4
1564,101.6
1565,101.8
1566,102.0
1567,102.2
1568,102.4
1569,102.6
1570,102.8
1571,103.0
1572,103.2
1573,103.4
1574,103.6
1575,103.8
1576,104.0
1577,104.2
1578,104.4
1579,104.6
1580,104.8
1581,105.0
1582,105.2
1583,105.4
1584,105.6
1585,105.8
1586,106.0
1587,106.2
1588,106.4
1589,106.6
1590,106.8
1591,107.0
1592,107.2
1593,107.4
1594,107.6
1595,107.8
1596,108.0
1597,108.2
1598,108.4
1599,108.6
1600,108.8
1601,109.0
1602,109.2
1603,109.4
1604,109.6
1605,109.8
1606,110.0
1607,110.2
1608,110.4
1609,110.6
1610,110.8
1611,111.0
1612,111.2
1613,111.4
1614,111.6
1615,111.8
1616,112.0
1617,112.2
1618,112.4
1619,112.6
1620,112.8
1621,113.0
1622,113.2
1623,113.4
1624,113.6
1625,113.8
1626,114.0
1627,114.2
1628,114.4
1629,114.6
1630,114.8
1631,115.0
1632,115.2
1633,115.4
1634,115.6
1635,115.8
1636,116.0
1637,116.2
1638,116.4
1639,116.6
1640,116.8
1641,117.0
1642,117.2
1643,117.4
1644,117.6
1645,117.8
1646,118.0
1647,118.2
1648,118.4
1649,118.6
1650,118.8
1651,119.0
1652,119.2
1653,119.4
1654,119.6
1655,119.8
1656,120.0
1657,120.2
1658,120.4
1659,120.6
1660,120.8
1661,121.0
1662,121.2
1663,121.4
1664,121.6
1665,121.8
1666,122.0
1667,122.2
1668,122.4
1669,122.6
1670,122.8
1671,123.0
1672,123.2
1673,123.4
1674,123.6
1675,123.8
1676,124.0
1677,124.2
1678,124.4
1679,124.6
1680,124.8
1681,125.0
1682,125.2
1683,125.4
1684,125.6
1685,125.8
1686,126.0
1687,126.2
1688,126.4
1689,126.6
1690,126.8
1691,127.0
1692,127.2
1693,127.4
1694,127.6
1695,127.8
1696,128.0
1697,128.2
1698,128.4
1699,128.6
1700,128.8
1701,129.0
1702,129.2
1703,129.4
1704,129.6
1705,129.8
1706,130.0
1707,130.2
1708,130.4
1709,130.6
1710,130.8
1711,131.0
1712,131.2
1713,131.4
1714,131.6
1715,131.8
1716,132.0
1717,132.2
1718,132.4
1719,132.6
1720,132.8
1721,133.0
1722,133.2
1723,133.4
1724,133.6
1725,133.8
1726,134.0
1727,134.2
1728,134.4
1729,134.6
1730,134.8
1731,135.0
1732,135.2
1733,135.4
1734,135.6
1735,135.8
1736,136.0
1737,136.2
1738,136.4
1739,136.6
1740,136.8
1741,137.0
1742,137.2
1743,137.4
1744,137.6
1745,137.8
1746,138.0
1747,138.2
1748,138.4
1749,138.6
1750,138.8
1751,139.0
1752,139.2
1753,139.4
1754,139.6
1755,139.8
1756,140.0
1757,140.2
1758,140.4
1759,140.6
1760,140.8
1761,141.0
1762,141.2
1763,141.4
1764,141.6
1765,141.8
1766,142.0
1767,142.2
1768,142.4
1769,142.6
1770,142.8
1771,143.0
1772,143.2
1773,143.4
1774,143.6
1775,143.8
1776,144.0
1777,144.2
1778,144.4
1779,144.6
1780,144.8
1781,145.0
1782,145.2
1783,145.4
1784,145.6
1785,145.8
1786,146.0
1787,146.2
1788,146.4
1789,146.6
1790,146.8
1791,147.0
1792,147.2
1793,147.4
1794,147.6
1795,147.8
1796,148.0
1797,148.2
1798,148.4
1799,148.6
1800,148.8
1801,149.0
1802,149.2
1803,149.4
1804,149.6
1805,149.8
1806,150.0
1807,150.2
1808,150.4
1809,150.6
1810,150.8
1811,151.0
1812,151.2
1813,151.4
1814,151.6
1815,151.8
1816,152.0
1817,152.2
1818,152.4
1819,152.6
1820,152.8
1821,153.0
1822,153.2
1823,153.4
1824,153.6
1825,153.8
1826,154.0
1827,154.2
1828,154.4
1829,154.6
1830,154.8
1831,155.0
1832,155.2
1833,155.4
1834,155.6
1835,155.8
1836,156.0
1837,156.2
1838,156.4
1839,156.6
1840,156.8
1841,157.0
1842,157.2
1843,157.4
1844,157.6
1845,157.8
1846,158.0
1847,158.2
1848,158.4
1849,158.6
1850,158.8
1851,159.0
1852,159.2
1853,159.4
1854,159.6
1855,159.8
1856,160.0
1857,160.2
1858,160.4
1859,160.6
1860,160.8
1861,161.0
1862,161.2
1863,161.4
1864,161.6
1865,161.8
1866,162.0
1867,162.2
1868,162.4
1869,162.6
1870,162.8
1871,163.0
1872,163.2
1873,163.4
1874,163.6
1875,163.8
1876,164.0
1877,164.2
1878,164.4
1879,164.6
1880,164.8
1881,165.0
1882,165.2
1883,165.4
1884,165.6
1885,165.8
1886,166.0
1887,166.2
1888,166.4
1889,166.6
1890,166.8
1891,167.0
1892,167.2
1893,167.4
1894,167.6
1895,167.8
1896,168.0
1897,168.2
1898,168.4
1899,168.6
1900,168.8
1901,169.0
1902,169.2
1903,169.4
1904,169.6
1905,169.8
1906,170.0
1907,170.2
1908,170.4
1909,170.6
1910,170.8
1911,171.0
1912,171.2
1913,171.4
1914,171.6
1915,171.8
1916,172.0
1917,172.2
1918,172.4
1919,172.6
1920,172.8
1921,173.0
1922,173.2
1923,173.4
1924,173.6
1925,173.8
1926,174.0
1927,174.2
1928,174.4
1929,174.6
1930,174.8
1931,175.0
1932,175.2
1933,175.4
1934,175.6
1935,175.8
1936,176.0
1937,176.2
1938,176.4
1939,176.6
1940,176.8
1941,177.0
1942,177.2
1943,177.4
1944,177.6
1945,177.8
1946,178.0
1947,178.2
1948,178.4
1949,178.6
1950,178.8
1951,179.0
1952,179.2
1953,179.4
1954,179.6
1955,179.8
1956,180.0
1957,180.2
1958,180.4
1959,180.6
1960,180.8
1961,181.0
1962,181.2
1963,181.4
1964,181.6
1965,181.8
1966,182.0
1967,182.2
1968,182.4
1969,182.6
1970,182.8
1971,183.0
1972,183.2
1973,183.4
1974,183.6
1975,183.8
1976,184.0
1977,184.2
1978,184.4
1979,184.6
1980,184.8
1981,185.0
1982,185.2
1983,185.4
1984,185.6
1985,185.8
1986,186.0
1987,186.2
1988,186.4
1989,186.6
1990,186.8
1991,187.0
1992,187.2
1993,187.4
1994,187.6
1995,187.8
1996,188.0
1997,188.2
1998,188.4
1999,188.6
2000,188.8
2001,189.0
2002,189.2
2003,189.4
2004,189.6
2005,189.8
2006,190.0
2007,190.2
2008,190.4
2009,190.6
2010,190.8
2011,191.0
2012,191.2
2013,191.4
2014,191.6
2015,191.8
2016,192.0
2017,192.2
2018,192.4
2019,192.6
2020,192.8
2021,193.0
2022,193.2
2023,193.4
2024,193.6
2025,193.8
2026,194.0
2027,194.2
2028,194.4
2029,194.6
2030,194.8
2031,195.0
2032,195.2
2033,195.4
2034,195.6
2035,195.8
2036,196.0
2037,196.2
2038,196.4
2039,196.6
2040,196.8
2041,197.0
2042,197.2
2043,197.4
2044,197.6
2045,197.8
2046,198.0
2047,198.2
2048,198.4
2049,198.6
2050,198.8
2051,199.0
2052,199.2
2053,199.4
2054,199.6
2055,199.8
2056,200.0
2057,200.2
2058,200.4
2059,200.6
2060,200.8
2061,201.0
2062,201.2
2063,201.4
2064,201.6
2065,201.8
2066,202.0
2067,202.2
2068,202.4
2069,202.6
2070,202.8
2071,203.0
2072,203.2
2073,203.4
2074,203.6
2075,203.8
2076,204.0
2077,204.2
2078,204.4
2079,204.6
2080,204.8
2081,205.0
2082,205.2
2083,205.4
2084,205.6
2085,205.8
2086,206.0
2087,206.2
2088,206.4
2089,206.6
2090,206.8
2091,207.0
2092,207.2
2093,207.4
2094,207.6
2095,207.8
2096,208.0
2097,208.2
2098,208.4
2099,208.6
2100,208.8
2101,209.0
2102,209.2
2103,209.4
2104,209.6
2105,209.8
2106,210.0
2107,210.2
2108,210.4
2109,210.6
2110,210.8
2111,211.0
2112,211.2
2113,211.4
2114,211.6
2115,211.8
2116,212.0
2117,212.2
2118,212.4
2119,212.6
2120,212.8
2121,213.0
2122,213.2
2123,213.4
2124,213.6
2125,213.8
2126,214.0
2127,214.2
2128,214.4
2129,214.6
2130,214.8
2131,215.0
2132,215.2
2133,215.4
2134,215.6
2135,215.8
2136,216.0
2137,216.2
2138,216.4
2139,216.6
2140,216.8
